No.,合否,学科
1327,不合格,
1328,合格,普通
1329,不合格,
1330,合格,普通
1331,合格,普通
1332,不合格,
1333,合格,普通
1334,合格,普通
1335,不合格,
1336,不合格,
1337,合格,普通
1338,合格,普通
1339,合格,普通
1340,不合格,
1341,合格,普通
1342,合格,普通
1343,合格,普通
1344,不合格,
1345,合格,普通
1346,合格,普通
1347,不合格,
1348,不合格,
1349,合格,普通
1350,不合格,
1351,合格,普通
1352,不合格,
1353,合格,普通
1354,合格,グローバル
1355,不合格,
1356,合格,普通
1357,不合格,
1358,合格,普通
1359,合格,普通
1360,合格,普通
1361,不合格,
1362,合格,普通
1363,合格,普通
1364,不合格,
1365,合格,普通
1366,合格,普通
1367,合格,普通
1368,合格,普通
1369,合格,普通
1370,合格,グローバル
1371,合格,普通
1372,不合格,
1373,不合格,
1374,合格,普通
1375,不合格,
1376,不合格,
1377,合格,普通
1378,不合格,
1379,不合格,
1380,不合格,
1381,合格,普通
1382,合格,普通
1383,合格,普通
1384,合格,普通
1385,合格,普通
1386,合格,グローバル
1387,合格,普通
1388,合格,普通
1389,合格,普通
1390,合格,普通
1391,合格,普通
1392,合格,普通
1393,合格,普通
1394,合格,グローバル
1395,合格,グローバル
1396,合格,普通
1397,不合格,
1398,合格,グローバル
1399,合格,グローバル
1400,合格,普通
1401,合格,普通
1402,合格,普通
1403,合格,普通
1404,合格,普通
1405,不合格,
1406,合格,普通
1407,合格,普通
1408,合格,グローバル
1409,合格,普通
1410,合格,グローバル
1411,合格,グローバル
1412,合格,普通
1413,合格,グローバル
1414,合格,普通
1415,合格,普通
1416,合格,普通
1417,合格,グローバル
1418,合格,普通
1419,合格,普通
1420,合格,普通
1421,不合格,
1422,合格,普通
